row,col,y_px,x_px
87,8,1400.0,136.0
86,8,1384.0,136.0
85,8,1368.0,136.0
84,8,1352.0,136.0
83,8,1336.0,136.0
82,8,1320.0,136.0
81,8,1304.0,136.0
80,8,1288.0,136.0
79,8,1272.0,136.0
78,8,1256.0,136.0
77,8,1240.0,136.0
76,8,1224.0,136.0
75,8,1208.0,136.0
74,8,1192.0,136.0
73,8,1176.0,136.0
72,8,1160.0,136.0
71,8,1144.0,136.0
70,8,1128.0,136.0
69,8,1112.0,136.0
68,8,1096.0,136.0
67,8,1080.0,136.0
66,8,1064.0,136.0
65,8,1048.0,136.0
64,8,1032.0,136.0
63,8,1016.0,136.0
62,8,1000.0,136.0
61,8,984.0,136.0
61,9,984.0,152.0
60,9,968.0,152.0
59,9,952.0,152.0
58,9,936.0,152.0
57,9,920.0,152.0
57,8,920.0,136.0
56,8,904.0,136.0
55,8,888.0,136.0
54,8,872.0,136.0
53,8,856.0,136.0
52,8,840.0,136.0
52,9,840.0,152.0
52,10,840.0,168.0
51,10,824.0,168.0
50,10,808.0,168.0
49,10,792.0,168.0
48,10,776.0,168.0
47,10,760.0,168.0
47,9,760.0,152.0
47,8,760.0,136.0
46,8,744.0,136.0
45,8,728.0,136.0
44,8,712.0,136.0
43,8,696.0,136.0
42,8,680.0,136.0
41,8,664.0,136.0
40,8,648.0,136.0
40,9,648.0,152.0
39,9,632.0,152.0
38,9,616.0,152.0
37,9,600.0,152.0
37,10,600.0,168.0
36,10,584.0,168.0
35,10,568.0,168.0
35,9,568.0,152.0
35,8,568.0,136.0
35,7,568.0,120.0
35,6,568.0,104.0
35,5,568.0,88.0
35,4,568.0,72.0
36,4,584.0,72.0
36,5,584.0,88.0
37,5,600.0,88.0
38,5,616.0,88.0
38,6,616.0,104.0
39,6,632.0,104.0
38,6,616.0,104.0
37,6,600.0,104.0
36,6,584.0,104.0
36,7,584.0,120.0
36,8,584.0,136.0
36,9,584.0,152.0
36,10,584.0,168.0
36,11,584.0,184.0
36,12,584.0,200.0
36,13,584.0,216.0
35,13,568.0,216.0
35,12,568.0,200.0
35,11,568.0,184.0
35,10,568.0,168.0
35,9,568.0,152.0
35,8,568.0,136.0
34,8,552.0,136.0
33,8,536.0,136.0
32,8,520.0,136.0
31,8,504.0,136.0
30,8,488.0,136.0
29,8,472.0,136.0
28,8,456.0,136.0
27,8,440.0,136.0
26,8,424.0,136.0
25,8,408.0,136.0
24,8,392.0,136.0
24,7,392.0,120.0
24,6,392.0,104.0
25,6,408.0,104.0
26,6,424.0,104.0
27,6,440.0,104.0
28,6,456.0,104.0
29,6,472.0,104.0
30,6,488.0,104.0
30,7,488.0,120.0
31,7,504.0,120.0
32,7,520.0,120.0
33,7,536.0,120.0
34,7,552.0,120.0
35,7,568.0,120.0
36,7,584.0,120.0
36,8,584.0,136.0
36,9,584.0,152.0
37,9,600.0,152.0
38,9,616.0,152.0
39,9,632.0,152.0
40,9,648.0,152.0
41,9,664.0,152.0
41,8,664.0,136.0
42,8,680.0,136.0
43,8,696.0,136.0
44,8,712.0,136.0
45,8,728.0,136.0
46,8,744.0,136.0
47,8,760.0,136.0
48,8,776.0,136.0
49,8,792.0,136.0
50,8,808.0,136.0
51,8,824.0,136.0
52,8,840.0,136.0
53,8,856.0,136.0
54,8,872.0,136.0
55,8,888.0,136.0
