index,filename,source,row,col,classification,manual_override,weights
0,tile_0000.png,tloz1_1.png,0,16,solid,,
1,tile_0001.png,tloz1_1.png,0,17,solid,,
2,tile_0002.png,tloz1_1.png,0,18,solid,,
1,tile_0001.png,tloz1_1.png,0,19,solid,,
1,tile_0001.png,tloz1_1.png,0,20,solid,,
3,tile_0003.png,tloz1_1.png,0,21,solid,,
4,tile_0004.png,tloz1_1.png,0,22,solid,,
1,tile_0001.png,tloz1_1.png,0,23,solid,,
1,tile_0001.png,tloz1_1.png,0,24,solid,,
5,tile_0005.png,tloz1_1.png,0,25,solid,,
6,tile_0006.png,tloz1_1.png,0,26,solid,,
1,tile_0001.png,tloz1_1.png,0,27,solid,,
1,tile_0001.png,tloz1_1.png,0,28,solid,,
7,tile_0007.png,tloz1_1.png,0,29,solid,,
1,tile_0001.png,tloz1_1.png,0,30,solid,,
8,tile_0008.png,tloz1_1.png,0,31,solid,,
0,tile_0000.png,tloz1_1.png,0,32,solid,,
1,tile_0001.png,tloz1_1.png,0,33,solid,,
2,tile_0002.png,tloz1_1.png,0,34,solid,,
1,tile_0001.png,tloz1_1.png,0,35,solid,,
1,tile_0001.png,tloz1_1.png,0,36,solid,,
3,tile_0003.png,tloz1_1.png,0,37,solid,,
4,tile_0004.png,tloz1_1.png,0,38,solid,,
1,tile_0001.png,tloz1_1.png,0,39,solid,,
1,tile_0001.png,tloz1_1.png,0,40,solid,,
5,tile_0005.png,tloz1_1.png,0,41,solid,,
6,tile_0006.png,tloz1_1.png,0,42,solid,,
1,tile_0001.png,tloz1_1.png,0,43,solid,,
1,tile_0001.png,tloz1_1.png,0,44,solid,,
7,tile_0007.png,tloz1_1.png,0,45,solid,,
1,tile_0001.png,tloz1_1.png,0,46,solid,,
8,tile_0008.png,tloz1_1.png,0,47,solid,,
9,tile_0009.png,tloz1_1.png,1,16,solid,,
10,tile_0010.png,tloz1_1.png,1,17,solid,,
11,tile_0011.png,tloz1_1.png,1,18,solid,,
12,tile_0012.png,tloz1_1.png,1,19,solid,,
13,tile_0013.png,tloz1_1.png,1,20,solid,,
14,tile_0014.png,tloz1_1.png,1,21,solid,,
15,tile_0015.png,tloz1_1.png,1,22,solid,,
16,tile_0016.png,tloz1_1.png,1,23,solid,,
16,tile_0016.png,tloz1_1.png,1,24,solid,,
17,tile_0017.png,tloz1_1.png,1,25,solid,,
18,tile_0018.png,tloz1_1.png,1,26,solid,,
19,tile_0019.png,tloz1_1.png,1,27,solid,,
20,tile_0020.png,tloz1_1.png,1,28,solid,,
21,tile_0021.png,tloz1_1.png,1,29,solid,,
22,tile_0022.png,tloz1_1.png,1,30,solid,,
23,tile_0023.png,tloz1_1.png,1,31,solid,,
9,tile_0009.png,tloz1_1.png,1,32,solid,,
10,tile_0010.png,tloz1_1.png,1,33,solid,,
11,tile_0011.png,tloz1_1.png,1,34,solid,,
12,tile_0012.png,tloz1_1.png,1,35,solid,,
13,tile_0013.png,tloz1_1.png,1,36,solid,,
14,tile_0014.png,tloz1_1.png,1,37,solid,,
15,tile_0015.png,tloz1_1.png,1,38,solid,,
16,tile_0016.png,tloz1_1.png,1,39,solid,,
16,tile_0016.png,tloz1_1.png,1,40,solid,,
17,tile_0017.png,tloz1_1.png,1,41,solid,,
18,tile_0018.png,tloz1_1.png,1,42,solid,,
19,tile_0019.png,tloz1_1.png,1,43,solid,,
20,tile_0020.png,tloz1_1.png,1,44,solid,,
21,tile_0021.png,tloz1_1.png,1,45,solid,,
22,tile_0022.png,tloz1_1.png,1,46,solid,,
23,tile_0023.png,tloz1_1.png,1,47,solid,,
9,tile_0009.png,tloz1_1.png,2,16,solid,,
24,tile_0024.png,tloz1_1.png,2,17,solid,,
25,tile_0025.png,tloz1_1.png,2,18,solid,air,
25,tile_0025.png,tloz1_1.png,2,19,solid,air,
25,tile_0025.png,tloz1_1.png,2,20,solid,air,
25,tile_0025.png,tloz1_1.png,2,21,solid,air,
25,tile_0025.png,tloz1_1.png,2,22,solid,air,
25,tile_0025.png,tloz1_1.png,2,23,solid,air,
25,tile_0025.png,tloz1_1.png,2,24,solid,air,
25,tile_0025.png,tloz1_1.png,2,25,solid,air,
25,tile_0025.png,tloz1_1.png,2,26,solid,air,
25,tile_0025.png,tloz1_1.png,2,27,solid,air,
25,tile_0025.png,tloz1_1.png,2,28,solid,air,
25,tile_0025.png,tloz1_1.png,2,29,solid,air,
26,tile_0026.png,tloz1_1.png,2,30,solid,,
23,tile_0023.png,tloz1_1.png,2,31,solid,,
9,tile_0009.png,tloz1_1.png,2,32,solid,,
24,tile_0024.png,tloz1_1.png,2,33,solid,,
25,tile_0025.png,tloz1_1.png,2,34,solid,air,
25,tile_0025.png,tloz1_1.png,2,35,solid,air,
25,tile_0025.png,tloz1_1.png,2,36,solid,air,
25,tile_0025.png,tloz1_1.png,2,37,solid,air,
25,tile_0025.png,tloz1_1.png,2,38,solid,air,
25,tile_0025.png,tloz1_1.png,2,39,solid,air,
25,tile_0025.png,tloz1_1.png,2,40,solid,air,
25,tile_0025.png,tloz1_1.png,2,41,solid,air,
25,tile_0025.png,tloz1_1.png,2,42,solid,air,
25,tile_0025.png,tloz1_1.png,2,43,solid,air,
