row,col,y_px,x_px
87,56,1400.0,904.0
86,56,1384.0,904.0
85,56,1368.0,904.0
84,56,1352.0,904.0
83,56,1336.0,904.0
83,57,1336.0,920.0
83,58,1336.0,936.0
83,59,1336.0,952.0
83,60,1336.0,968.0
83,61,1336.0,984.0
82,61,1320.0,984.0
82,62,1320.0,1000.0
82,63,1320.0,1016.0
82,64,1320.0,1032.0
82,65,1320.0,1048.0
82,66,1320.0,1064.0
82,67,1320.0,1080.0
82,68,1320.0,1096.0
82,69,1320.0,1112.0
82,70,1320.0,1128.0
82,71,1320.0,1144.0
82,72,1320.0,1160.0
82,71,1320.0,1144.0
82,70,1320.0,1128.0
82,69,1320.0,1112.0
82,68,1320.0,1096.0
82,67,1320.0,1080.0
82,66,1320.0,1064.0
82,65,1320.0,1048.0
82,64,1320.0,1032.0
82,63,1320.0,1016.0
82,62,1320.0,1000.0
82,61,1320.0,984.0
81,61,1304.0,984.0
80,61,1288.0,984.0
79,61,1272.0,984.0
79,60,1272.0,968.0
79,59,1272.0,952.0
79,58,1272.0,936.0
79,57,1272.0,920.0
79,56,1272.0,904.0
78,56,1256.0,904.0
77,56,1240.0,904.0
76,56,1224.0,904.0
75,56,1208.0,904.0
74,56,1192.0,904.0
73,56,1176.0,904.0
72,56,1160.0,904.0
71,56,1144.0,904.0
70,56,1128.0,904.0
69,56,1112.0,904.0
68,56,1096.0,904.0
67,56,1080.0,904.0
66,56,1064.0,904.0
65,56,1048.0,904.0
64,56,1032.0,904.0
63,56,1016.0,904.0
62,56,1000.0,904.0
61,56,984.0,904.0
60,56,968.0,904.0
60,55,968.0,888.0
60,54,968.0,872.0
60,53,968.0,856.0
60,52,968.0,840.0
60,51,968.0,824.0
60,50,968.0,808.0
60,49,968.0,792.0
60,48,968.0,776.0
60,47,968.0,760.0
60,46,968.0,744.0
60,45,968.0,728.0
61,45,984.0,728.0
61,44,984.0,712.0
61,43,984.0,696.0
62,43,1000.0,696.0
62,42,1000.0,680.0
63,42,1016.0,680.0
63,41,1016.0,664.0
63,40,1016.0,648.0
63,39,1016.0,632.0
62,39,1000.0,632.0
61,39,984.0,632.0
60,39,968.0,632.0
60,40,968.0,648.0
59,40,952.0,648.0
58,40,936.0,648.0
57,40,920.0,648.0
57,39,920.0,632.0
57,38,920.0,616.0
58,38,936.0,616.0
58,37,936.0,600.0
59,37,952.0,600.0
59,36,952.0,584.0
60,36,968.0,584.0
60,35,968.0,568.0
60,34,968.0,552.0
60,33,968.0,536.0
60,32,968.0,520.0
60,31,968.0,504.0
60,30,968.0,488.0
60,29,968.0,472.0
60,28,968.0,456.0
